code,Bed Capacity
12802000,0.0
12804000,25.0
12805000,200.0
12809000,18.0
12812000,170.0
12813000,75.0
12820000,18.0
12903000,180.0
12905000,63.0
12906000,93.0
12908000,25.0
12912000,25.0
12914000,30.0
12925000,25.0
12926000,18.0
12930000,25.0
12933000,50.0
12934000,100.0
13301000,115.0
13303000,25.0
13305000,25.0
13309000,15.0
13311000,25.0
13313000,25.0
13314000,598.0
15503000,125.0
15506000,15.0
15511000,75.0
15512000,0.0
15513000,18.0
15514000,25.0
15518000,627.0
15519000,20.0
15522000,70.0
15524000,0.0
15525000,25.0
15527000,43.0
15528000,20.0
15530000,10.0
15531000,0.0
15532000,337.0
15541000,18.0
15543000,123.0
15544000,15.0
15546000,238.0
20901000,75.0
20905000,0.0
21501000,50.0
21505000,121.0
21507000,25.0
21510000,70.0
21514000,25.0
21517000,25.0
21520000,40.0
21522000,17.0
21523000,17.0
21528000,25.0
21529000,1100.0
23101000,83.0
23103000,16.0
23106000,50.0
23107000,20.0
23108000,244.0
23109000,17.0
23112000,100.0
23114000,196.0
23115000,10.0
23120000,92.0
23126000,116.0
23131000,10.0
23132000,20.0
23135000,609.0
25002000,15.0
25004000,173.0
25005000,500.0
25007000,17.0
25010000,15.0
25013000,180.0
25702000,100.0
25704000,39.0
30803000,364.0
30804000,100.0
30807000,37.0
30809000,45.0
30810000,10.0
31402000,35.0
31403000,360.0
31404000,0.0
31405000,25.0
31406000,40.0
31407000,25.0
31408000,52.0
31409000,73.0
31410000,539.0
31411000,25.0
31412000,280.0
31413000,40.0
31416000,21.0
31417000,67.0
31418000,30.0
31419000,42.0
31420000,236.0
31421000,50.0
31423000,240.0
34902000,50.0
34903000,1139.0
34904000,0.0
34908000,92.0
34910000,0.0
34911000,25.0
34924000,50.0
34925000,29.0
34926000,73.0
34927000,0.0
34929000,25.0
34930000,10.0
35401000,588.0
35402000,83.0
35403000,25.0
35404000,25.0
35406000,75.0
35407000,185.0
35408000,100.0
35409000,239.0
35410000,45.0
35411000,66.0
35413000,50.0
35415000,48.0
35416000,857.0
35417000,25.0
35421000,15.0
36902000,0.0
36903000,85.0
36904000,66.0
36905000,74.0
36906000,0.0
36909000,17.0
36910000,69.0
36916000,698.0
37103000,50.0
37105000,150.0
37107000,450.0
37111000,89.0
37701000,79.0
41003000,193.0
41005000,858.0
41006000,172.0
41007000,35.0
41009000,25.0
41010000,15.0
41012000,277.0
41013000,0.0
41014000,772.0
41015000,14.0
41016000,35.0
41017000,0.0
41019000,145.0
41020000,16.0
41021000,135.0
41022000,75.0
41023000,74.0
41025000,0.0
41026000,25.0
41028000,133.0
41029000,40.0
41030000,25.0
41031000,365.0
41034000,0.0
42101000,12.0
42103000,488.0
42104000,71.0
42105000,281.0
42106000,810.0
42108000,275.0
42109000,270.0
42111000,169.0
42113000,10.0
42115000,70.0
42116000,50.0
42117000,54.0
42118000,157.0
42119000,90.0
42120000,52.0
42122000,359.0
42123000,25.0
43401000,0.0
43402000,105.0
43403000,500.0
43404000,273.0
43405000,496.0
43408000,26.0
43411000,223.0
43412000,50.0
43416000,15.0
43417000,25.0
43418000,15.0
43419000,45.0
43420000,50.0
43424000,481.0
43425000,272.0
43426000,329.0
43428000,583.0
43429000,22.0
45602000,25.0
45603000,50.0
45607000,40.0
45608000,95.0
45610000,25.0
45618000,15.0
45619000,145.0
45620000,39.0
45622000,200.0
45623000,30.0
45624000,650.0
45627000,25.0
45630000,12.0
45642000,10.0
45644000,10.0
45645000,20.0
45646000,25.0
45647000,105.0
45648000,0.0
45649000,10.0
45801000,182.0
45802000,737.0
45804000,179.0
45805000,180.0
45806000,48.0
45807000,10.0
45808000,110.0
45809000,125.0
45811000,75.0
45812000,29.0
45813000,159.0
45814000,35.0
50503000,24.0
50506000,420.0
50508000,79.0
50512000,20.0
50515000,25.0
50517000,190.0
51603000,297.0
51606000,25.0
51707000,450.0
51715000,40.0
51716000,190.0
51718000,25.0
51723000,36.0
51724000,790.0
52006000,25.0
52008000,25.0
52010000,25.0
52011000,160.0
54105000,25.0
54111000,120.0
56206000,25.0
56207000,25.0
56208000,25.0
56209000,25.0
56216000,320.0
60407000,566.0
60411000,0.0
60412000,15.0
60604000,10.0
60606000,25.0
60613000,100.0
60616000,25.0
61904000,0.0
61908000,50.0
61912000,50.0
61914000,372.0
63002000,50.0
63005000,25.0
63007000,50.0
63008000,0.0
63012000,50.0
63013000,25.0
63018000,50.0
63020000,50.0
63022000,1687.0
63023000,25.0
63025000,50.0
63035000,25.0
63036000,54.0
63037000,100.0
63043000,300.0
63044000,50.0
64501000,1220.0
64502000,50.0
64504000,50.0
64509000,50.0
64510000,0.0
64515000,128.0
64516000,25.0
64517000,0.0
64518000,0.0
64523000,80.0
64524000,100.0
64526000,100.0
64527000,0.0
64530000,50.0
67902000,25.0
71212000,40.0
71213000,25.0
71223000,40.0
71225000,50.0
71242000,508.0
71243000,75.0
71246000,100.0
71247000,0.0
72205000,25.0
72208000,35.0
72211000,50.0
72214000,50.0
72217000,1863.0
72219000,155.0
72222000,0.0
72223000,50.0
72226000,335.0
72230000,475.0
72234000,0.0
72250000,25.0
72251000,0.0
74606000,50.0
74610000,623.0
74611000,50.0
76106000,100.0
82604000,100.0
82606000,0.0
82607000,25.0
82609000,88.0
82617000,50.0
82619000,20.0
83701000,75.0
83708000,100.0
83710000,75.0
83715000,25.0
83719000,25.0
83738000,248.0
83739000,75.0
83740000,75.0
83747000,775.0
84801000,50.0
84805000,100.0
84807000,25.0
84815000,10.0
86002000,35.0
86003000,220.0
86005000,225.0
86401000,50.0
86407000,170.0
86417000,80.0
87808000,75.0
97201000,75.0
97202000,228.0
97218000,50.0
97312000,15.0
97315000,41.0
97317000,100.0
97319000,28.0
97322000,315.0
97332000,1350.0
97333000,0.0
98302000,10.0
98305000,57.0
98306000,22.0
98315000,20.0
99701000,25.0
101304000,48.0
101307000,0.0
101308000,25.0
101312000,463.0
101314000,99.0
101315000,244.0
101316000,16.0
101317000,20.0
101319000,0.0
101321000,323.0
101804000,100.0
103501000,25.0
103503000,100.0
103504000,394.0
103505000,50.0
103508000,75.0
103509000,71.0
103522000,40.0
104203000,0.0
104204000,50.0
104205000,25.0
104207000,18.0
104208000,0.0
104209000,179.0
104210000,598.0
104212000,20.0
104215000,50.0
104302000,50.0
104305000,820.0
104308000,75.0
104310000,25.0
104318000,25.0
104322000,0.0
104324000,50.0
104325000,25.0
112303000,25.0
112305000,25.0
112315000,342.0
112317000,25.0
112318000,30.0
112319000,889.0
112401000,112.0
112402000,1954.0
112403000,403.0
112404000,0.0
112408000,50.0
112410000,138.0
112411000,127.0
112412000,60.0
112507000,25.0
112509000,150.0
118202000,10.0
118205000,10.0
118206000,30.0
118208000,25.0
118211000,25.0
118603000,18.0
124702000,0.0
124703000,208.0
124704000,232.0
124705000,55.0
124707000,125.0
124708000,48.0
124709000,109.0
124710000,155.0
124712000,30.0
124714000,80.0
124715000,0.0
124717000,0.0
126303000,1098.0
126306000,430.0
126311000,40.0
126312000,50.0
126313000,50.0
126503000,136.0
126504000,191.0
126508000,25.0
126511000,399.0
128003000,75.0
129804000,499.0
133900000,7201.0
137401000,4553.0
137402000,520.0
137403000,1544.0
137404000,9438.0
137405000,516.0
137501000,700.0
137502000,44.0
137503000,50.0
137504000,492.0
137601000,799.0
137602000,995.0
137603000,909.0
137604000,634.0
137605000,630.0
137606000,58.0
137607000,1075.0
140101000,196.0
141101000,15.0
141102000,894.0
141104000,10.0
141105000,35.0
141110000,224.0
141111000,0.0
142704000,0.0
142705000,25.0
142707000,25.0
143213000,120.0
143214000,0.0
144402000,75.0
144403000,25.0
144404000,100.0
144406000,25.0
144409000,17.0
148102000,25.0
148105000,100.0
150702000,25.0
153603000,10.0
153605000,10.0
153615000,25.0
153617000,558.0
153626000,60.0
153630000,25.0
153803000,100.0
153807000,60.0
153812000,140.0
153815000,10.0
153835000,299.0
156602000,175.0
156604000,25.0
156608000,25.0
156609000,25.0
156612000,25.0
157002000,50.0
157010000,25.0
157011000,10.0
160202000,548.0
160203000,25.0
160208000,0.0
160301000,30.0
160302000,50.0
160306000,100.0
160308000,100.0
160311000,30.0
160312000,0.0
166716000,0.0
166717000,50.0
166721000,0.0
166724000,295.0
166803000,125.0
166805000,0.0
166809000,25.0
166811000,25.0
166813000,25.0
166819000,200.0
174001000,100.0
174005000,25.0
175106000,100.0
175109000,50.0
175110000,50.0
175203000,0.0
175205000,310.0
175209000,30.0
175214000,15.0
175215000,0.0
175305000,30.0
175306000,89.0
175310000,25.0
175316000,330.0
175320000,50.0
175322000,200.0
175909000,75.0
